,Last Scraped,Host Since,Neighbourhood Cleansed,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Availability 30,Availability 365,Number of Reviews,Cancellation Policy
1926,17290,17125.0,162.0451866404715,161.80746023038947,99.29565108409575,2,1.0,1.0,1.0,168.00175681431006,200.0,30,90,2,151.50980726590484
1927,17290,17144.0,162.0451866404715,161.80746023038947,99.29565108409575,2,1.0,1.0,1.0,168.00175681431006,100.0,0,0,1,151.50980726590484
1928,17290,15290.0,162.0451866404715,161.80746023038947,99.29565108409575,1,1.0,0.0,1.0,168.00175681431006,150.0,3,294,1,151.96605805243445
1929,17290,16096.0,162.0451866404715,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,85.0,0,216,20,181.94894537587885
1930,17290,17150.0,162.0451866404715,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,60.0,3,16,0,181.94894537587885
1931,17290,16952.0,162.0451866404715,161.80746023038947,220.18429813205105,4,1.0,1.0,1.0,168.00175681431006,200.0,0,0,0,151.96605805243445
1932,17290,17086.0,162.0451866404715,161.80746023038947,220.18429813205105,3,1.0,1.0,2.0,168.00175681431006,148.0,0,26,12,181.94894537587885
1933,17289,16680.0,162.0451866404715,161.80746023038947,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,200.0,4,17,2,151.96605805243445
1934,17288,16284.0,162.0451866404715,161.80746023038947,99.29565108409575,2,1.0,1.0,1.0,168.00175681431006,105.0,0,125,132,151.50980726590484
1935,17288,16730.0,162.0451866404715,161.80746023038947,80.38578680203045,2,1.0,1.0,1.0,168.00175681431006,80.0,0,29,17,151.96605805243445
1936,17291,16353.0,176.3971671388102,161.80746023038947,220.18429813205105,4,1.0,1.0,2.0,168.00175681431006,185.0,3,3,97,181.94894537587885
1937,17290,16226.0,176.3971671388102,161.80746023038947,220.18429813205105,2,1.0,0.0,1.0,168.00175681431006,140.0,2,18,3,151.50980726590484
1938,17290,16341.0,176.3971671388102,161.80746023038947,80.38578680203045,1,1.0,1.0,1.0,168.00175681431006,150.0,30,365,0,151.50980726590484
1939,17291,16657.0,176.3971671388102,161.80746023038947,220.18429813205105,6,2.0,3.0,3.0,168.00175681431006,280.0,0,7,5,181.94894537587885
1940,17291,15173.0,176.3971671388102,280.71276595744683,220.18429813205105,9,2.0,2.0,4.0,168.00175681431006,,30,365,8,181.94894537587885
1941,17290,16619.0,176.3971671388102,161.80746023038947,99.29565108409575,1,1.0,1.0,1.0,168.00175681431006,105.0,0,0,0,151.50980726590484
1942,17290,15799.0,176.3971671388102,161.80746023038947,220.18429813205105,3,1.0,1.0,1.0,168.00175681431006,125.0,0,0,0,151.50980726590484
1943,17290,15731.0,176.3971671388102,161.80746023038947,220.18429813205105,4,1.0,1.0,2.0,168.00175681431006,170.0,27,362,18,151.96605805243445
